eci2                201.94%   359.5MiB / 500MiB    71.90%	50
eci                 117.64%   251.3MiB / 500MiB    50.26%	51
Juan                9.82%     207.7MiB / 500MiB    41.55%	51
eci2                213.78%   351MiB / 500MiB      70.21%	51
eci                 143.40%   272.2MiB / 500MiB     54.44%	52
Juan                2.71%     207.7MiB / 500MiB     41.55%	52
eci2                202.49%   359.3MiB / 500MiB     71.87%	52
eci                 207.76%   271.7MiB / 500MiB     54.34%	53
Juan                12.23%    208.2MiB / 500MiB     41.64%	53
eci2                199.54%   365.7MiB / 500MiB     73.14%	53
eci                 197.42%   263.8MiB / 500MiB     52.77%	54
Juan                15.28%    208.5MiB / 500MiB     41.69%	54
eci2                202.32%   370.5MiB / 500MiB     74.11%	54
eci                 204.87%   266.1MiB / 500MiB     53.23%	55
Juan                12.99%    209.1MiB / 500MiB     41.82%	55
eci2                104.05%   339.9MiB / 500MiB     67.99%	55
eci                 198.72%   274.4MiB / 500MiB    54.88%	56
Juan                2.60%     209.2MiB / 500MiB    41.84%	56
eci2                100.88%   339.4MiB / 500MiB    67.88%	56
eci                 203.50%   281.8MiB / 500MiB     56.36%	57
Juan                9.39%     208.4MiB / 500MiB     41.67%	57
eci2                102.56%   342.9MiB / 500MiB     68.59%	57
eci                 205.45%   257.4MiB / 500MiB     51.47%	58
Juan                111.42%   218.7MiB / 500MiB     43.75%	58
eci2                104.61%   330MiB / 500MiB       66.00%	58
eci                 203.35%   281.3MiB / 500MiB     56.27%	59
Juan                103.13%   219.4MiB / 500MiB     43.89%	59
eci2                102.61%   332.2MiB / 500MiB     66.45%	59
eci                 200.56%   257.6MiB / 500MiB   51.51%	60
Juan                104.80%   219.5MiB / 500MiB   43.91%	60
eci2                101.04%   335.1MiB / 500MiB   67.01%	60
eci                 204.80%   293.6MiB / 500MiB     58.71%	61
Juan                150.59%   232.2MiB / 500MiB     46.44%	61
eci2                112.39%   345.2MiB / 500MiB     69.05%	61
eci                 202.55%   282.6MiB / 500MiB     56.53%	62
Juan                112.20%   237.2MiB / 500MiB     47.44%	62
eci2                100.06%   344.4MiB / 500MiB     68.88%	62
eci                 202.55%   274.6MiB / 500MiB     54.91%	63
Juan                105.12%   228.3MiB / 500MiB     45.66%	63
eci2                147.74%   358.5MiB / 500MiB     71.71%	63
eci                 189.76%   285.2MiB / 500MiB     57.05%	64
Juan                133.01%   237.3MiB / 500MiB     47.46%	64
eci2                168.90%   334.2MiB / 500MiB     66.85%	64
eci                 192.53%   288.2MiB / 500MiB     57.65%	65
Juan                63.00%    240.6MiB / 500MiB     48.12%	65
eci2                201.86%   371.1MiB / 500MiB     74.22%	65
eci                 199.25%   278.3MiB / 500MiB     55.66%	66
Juan                106.34%   237.2MiB / 500MiB     47.44%	66
eci2                196.62%   372.8MiB / 500MiB     74.56%	66
eci                 191.08%   267.8MiB / 500MiB     53.56%	67
Juan                103.55%   237.6MiB / 500MiB     47.52%	67
eci2                197.48%   346.4MiB / 500MiB     69.27%	67
eci                 191.03%   265.9MiB / 500MiB     53.19%	68
Juan                109.94%   239.5MiB / 500MiB     47.90%	68
eci2                199.12%   344.6MiB / 500MiB     68.92%	68
eci                 192.26%   271.8MiB / 500MiB     54.35%	69
Juan                104.97%   226.3MiB / 500MiB     45.26%	69
eci2                204.74%   374.9MiB / 500MiB     74.98%	69
eci                 194.87%   266.8MiB / 500MiB     53.36%	70
Juan                109.32%   227.3MiB / 500MiB     45.47%	70
eci2                191.26%   340.2MiB / 500MiB     68.04%	70
eci                 229.91%   262.9MiB / 500MiB     52.59%	71
Juan                136.26%   238MiB / 500MiB       47.61%	71
eci2                226.39%   352.7MiB / 500MiB     70.54%	71
eci                 193.83%   280.8MiB / 500MiB     56.16%	72
Juan                106.52%   237.3MiB / 500MiB     47.46%	72
eci2                212.58%   356.7MiB / 500MiB     71.34%	72
eci                 197.54%   258.4MiB / 500MiB     51.68%	73
Juan                107.56%   237.9MiB / 500MiB     47.57%	73
eci2                197.22%   375.5MiB / 500MiB     75.10%	73
eci                 229.97%   281.4MiB / 500MiB   56.29%	74
Juan                107.93%   238.8MiB / 500MiB   47.76%	74
eci2                170.49%   338.6MiB / 500MiB   67.72%	74
eci                 105.72%   264MiB / 500MiB       52.80%	75
Juan                105.53%   238.4MiB / 500MiB     47.68%	75
eci2                206.52%   341.9MiB / 500MiB     68.38%	75
eci                 103.91%   258.7MiB / 500MiB     51.73%	76
Juan                103.27%   234.8MiB / 500MiB     46.96%	76
eci2                108.95%   331.8MiB / 500MiB     66.37%	76
eci                 204.04%   258.3MiB / 500MiB     51.67%	77
Juan                109.25%   233.8MiB / 500MiB     46.76%	77
eci2                106.27%   335.8MiB / 500MiB     67.16%	77
eci                 201.91%   258.9MiB / 500MiB     51.77%	78
Juan                104.54%   233.7MiB / 500MiB     46.75%	78
eci2                101.72%   348.4MiB / 500MiB     69.67%	78
eci                 204.35%   263.5MiB / 500MiB     52.70%	79
Juan                3.31%     233.9MiB / 500MiB     46.78%	79
eci2                103.10%   344.5MiB / 500MiB     68.90%	79
eci                 204.29%   267MiB / 500MiB       53.41%	80
Juan                5.02%     236.4MiB / 500MiB     47.28%	80
eci2                103.21%   350.3MiB / 500MiB     70.05%	80
eci                 205.51%   256.4MiB / 500MiB     51.27%	81
Juan                30.36%    236.5MiB / 500MiB     47.30%	81
eci2                104.06%   344.4MiB / 500MiB     68.89%	81
eci                 204.28%   265.3MiB / 500MiB     53.05%	82
Juan                110.75%   237.7MiB / 500MiB     47.54%	82
eci2                103.07%   338.8MiB / 500MiB     67.76%	82
eci                 205.43%   264.4MiB / 500MiB     52.88%	83
Juan                109.67%   236.1MiB / 500MiB     47.21%	83
eci2                109.68%   344.7MiB / 500MiB     68.93%	83
eci                 203.29%   273.4MiB / 500MiB     54.69%	84
Juan                104.35%   230.3MiB / 500MiB     46.05%	84
eci2                103.08%   341.8MiB / 500MiB     68.35%	84
eci                 199.84%   271.3MiB / 500MiB     54.26%	85
Juan                102.51%   232.7MiB / 500MiB     46.55%	85
eci2                193.17%   353.7MiB / 500MiB     70.75%	85
eci                 202.98%   271.1MiB / 500MiB     54.22%	86
Juan                103.05%   232.1MiB / 500MiB     46.43%	86
eci2                195.47%   352.1MiB / 500MiB     70.42%	86
eci                 200.25%   273.1MiB / 500MiB     54.62%	87
Juan                107.38%   231.1MiB / 500MiB     46.23%	87
eci2                191.63%   355.8MiB / 500MiB     71.15%	87
eci                 194.83%   264.7MiB / 500MiB     52.93%	88
Juan                104.82%   230.5MiB / 500MiB     46.11%	88
eci2                171.98%   368.5MiB / 500MiB     73.70%	88
eci                 194.47%   276.9MiB / 500MiB     55.39%	89
Juan                103.62%   231.9MiB / 500MiB     46.38%	89
eci2                205.31%   355.4MiB / 500MiB     71.09%	89
eci                 195.23%   268.3MiB / 500MiB     53.65%	90
Juan                118.53%   236.7MiB / 500MiB     47.35%	90
eci2                201.47%   341.4MiB / 500MiB     68.29%	90
eci                 179.35%   262.5MiB / 500MiB     52.49%	91
Juan                103.92%   237.5MiB / 500MiB     47.50%	91
eci2                199.31%   342.5MiB / 500MiB     68.50%	91
eci                 196.32%   276.5MiB / 500MiB     55.31%	92
Juan                104.50%   238.1MiB / 500MiB     47.62%	92
eci2                202.33%   347MiB / 500MiB       69.39%	92
eci                 194.88%   277MiB / 500MiB      55.40%	93
Juan                105.59%   236.5MiB / 500MiB    47.30%	93
eci2                197.07%   355.8MiB / 500MiB    71.17%	93
